K1.1,K1.2,K1.3,K1.4,K1.5,F2.1,F2.2,F2.3,F2.4,F2.5,F2.6,F2.7,F2.8,K1.6,K1.7,K1.8,F2.11,F2.9,F2.10,K1.9,P3.1,P3.2,P3.3,P3.4,P3.5
4,3,2,4,4,4,4,2,4,5,5,4,2,3,4,2,3,4,5,3,5,4,3,3,3
5,4,5,5,5,4,5,4,4,3,5,5,4,3,2,4,5,3,4,4,4,5,4,2,4
4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4,3,4,4,3,3
4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,3,5,5,4,4,4,2,4,4
5,4,4,3,3,3,2,4,4,5,5,2,2,3,4,3,2,4,4,4,5,4,2,3,4
5,5,4,4,4,4,5,4,4,4,5,5,5,4,2,4,4,3,5,4,5,5,4,1,5
5,5,4,2,3,5,4,4,5,3,5,5,4,2,3,3,2,2,4,4,5,5,2,2,5
5,5,5,5,4,5,3,3,3,5,5,1,2,3,3,1,4,1,5,3,5,5,5,1,5
5,5,5,4,3,4,5,4,5,5,4,4,4,4,4,3,2,5,5,5,5,5,5,5,5
5,4,3,4,3,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4
5,4,4,3,4,5,4,3,3,4,5,5,5,3,3,5,3,4,5,4,5,5,1,4,4
5,4,4,5,3,4,4,4,4,2,5,4,3,2,2,3,4,3,3,3,5,5,3,2,4
4,4,4,5,3,3,3,4,4,4,4,4,5,5,4,4,5,4,4,3,5,3,2,4,4
5,5,5,5,5,5,4,5,4,5,5,5,3,3,4,4,4,3,5,5,5,4,1,1,5
5,5,4,4,4,3,4,5,4,4,5,5,4,4,3,3,5,4,4,3,4,4,3,4,4
5,4,4,4,3,3,3,3,3,4,5,3,3,3,4,3,4,4,4,3,3,3,3,3,4
5,4,4,4,4,4,3,4,5,5,5,5,3,3,5,3,5,4,5,4,5,5,3,1,4
5,5,4,4,2,3,5,4,3,4,5,5,4,4,5,5,1,3,5,5,5,4,2,4,4
5,4,4,4,4,5,3,3,4,5,5,4,3,5,4,3,3,2,5,3,5,5,3,4,5
5,4,3,4,5,4,4,4,5,4,4,5,3,3,2,4,5,3,4,4,5,5,2,2,5
5,5,4,4,4,4,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,4,3,2,4
5,5,3,5,5,4,4,3,4,4,5,4,3,5,3,5,4,2,5,5,5,4,3,1,5
5,4,3,5,3,3,3,4,4,3,4,4,3,2,3,1,3,3,4,3,4,4,1,3,4
5,5,4,5,4,4,4,5,5,4,5,4,3,2,2,3,3,3,4,3,5,4,5,4,5
4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,4,4,3,5,5,5,5,5,3,4,3,4,3,4,5,4,5,5,5,2,4
5,4,4,4,4,3,4,3,3,4,4,3,3,3,3,5,5,3,5,4,4,5,4,1,4
4,4,4,4,5,5,3,4,4,5,5,4,4,4,2,4,3,3,5,3,5,3,3,3,4
4,4,2,4,3,2,3,4,4,4,5,3,2,2,1,3,4,3,4,3,4,4,3,3,3
5,4,4,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,3,2,4
4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,2,3,4
5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,2,3,5
4,4,3,4,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,2,2,3
5,5,5,5,5,5,4,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,2,5
5,4,4,4,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,5,4,2,3,4
3,2,2,4,4,4,4,1,2,3,4,4,4,4,3,2,4,1,2,3,3,3,5,1,4
5,5,4,4,4,5,5,3,5,5,5,5,4,5,5,3,4,5,5,3,5,5,2,3,5
4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,5,4,2,3,4
5,3,3,2,3,5,4,4,5,5,5,5,5,2,2,2,2,4,4,4,4,5,2,5,5
4,4,3,3,4,4,4,5,5,5,5,5,3,5,3,3,2,3,5,5,5,4,2,5,4
5,3,3,4,5,5,4,5,4,4,5,4,5,3,2,3,4,5,5,3,5,5,3,1,4
4,4,3,4,4,3,3,3,4,4,4,3,3,3,1,3,3,1,4,3,4,4,3,2,4
4,4,3,4,3,2,3,4,4,3,4,3,3,4,3,3,4,4,4,3,4,3,2,5,4
5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,2,4
4,3,2,3,3,2,2,2,3,4,4,3,2,2,2,3,3,3,3,3,4,5,3,4,4
5,5,5,4,4,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,3,1,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5
5,5,5,5,4,4,5,5,3,4,5,3,3,5,4,4,3,3,4,4,5,5,4,1,3
4,4,4,4,3,2,3,3,3,3,4,3,3,3,4,2,2,2,4,3,4,3,3,2,4
5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,3,3,4,4,4,4,4,2,4
5,5,4,5,3,3,3,4,3,5,4,3,2,3,5,3,3,3,4,4,5,5,3,1,3
1,2,2,3,2,2,2,4,5,3,5,4,4,4,4,5,4,4,3,4,5,4,2,5,4
5,4,3,4,3,5,4,4,4,5,5,5,3,4,4,3,4,3,4,3,5,5,3,1,5
5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,3,5,4,4,4,4,4,4,5,4,4,3,3,3,3,4,4,4,5,4,4,2,4
5,5,4,5,4,4,5,4,4,4,4,3,3,3,2,4,4,4,5,3,5,5,5,3,4
4,4,4,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,2,3,4
5,5,5,5,3,3,4,2,3,3,4,3,2,2,3,5,5,3,2,3,5,5,5,2,5
5,5,3,5,4,4,4,4,3,3,4,4,4,3,2,2,5,1,3,4,5,4,2,4,4
4,4,4,3,3,3,3,3,3,4,5,4,3,3,3,3,3,4,5,4,4,4,3,4,4
5,5,4,5,5,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,5
5,3,4,5,4,5,4,3,4,5,5,5,2,3,4,4,5,5,5,4,5,5,2,1,5
4,4,4,4,4,4,4,2,3,3,4,4,4,4,1,2,5,1,4,2,4,4,4,2,4
5,4,4,4,4,2,5,2,2,5,5,3,2,4,5,5,5,2,5,5,5,5,1,1,5
5,4,4,5,4,4,4,4,4,5,5,4,4,4,5,4,4,3,4,4,5,4,4,3,5
4,4,3,3,3,4,3,2,3,3,4,4,3,4,5,4,4,2,4,5,5,5,4,2,4
5,3,3,4,4,5,4,4,4,5,5,5,3,4,4,3,4,4,5,3,4,4,4,3,5
4,3,3,4,4,3,4,4,5,4,4,5,3,3,3,3,4,4,4,4,4,3,2,3,5
5,5,5,5,5,4,3,4,3,5,5,4,4,4,3,3,4,4,4,4,5,4,3,3,4
5,4,3,4,4,3,4,4,4,5,5,5,5,3,3,5,5,4,5,5,5,5,5,1,5
5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,3,5,5,5,4,4,5,4,3,2,4,4,5,3,5,5,5,5,3,1,5
5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,5,4,4,3,5,4,4,5,5,4,4,5,4,5,4,4,5,4,3,3,4,5,4
4,4,3,4,3,3,4,3,3,5,5,3,3,4,4,3,5,5,5,5,3,5,2,3,4
4,5,5,4,3,3,4,5,5,5,3,2,4,5,4,2,2,2,4,3,5,5,5,2,5
5,5,4,5,4,4,4,5,5,5,5,5,3,4,3,3,3,4,5,3,5,4,3,2,4
5,3,2,4,3,4,3,2,2,4,4,4,4,4,4,3,4,2,5,4,5,3,2,4,5
5,4,4,4,5,3,5,4,4,4,5,4,2,3,1,3,4,5,5,3,5,5,5,1,5
4,4,4,3,3,1,4,3,2,2,4,3,3,3,3,2,2,2,3,2,4,4,1,1,5
5,5,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4,4,4,3,4,4,3,2,5
5,5,4,5,4,5,4,5,5,5,5,5,4,3,3,3,4,4,5,3,5,5,4,3,5
5,5,4,5,3,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,5,4,5,5,5
4,4,4,4,3,4,4,4,4,4,4,4,3,3,2,4,4,3,4,2,4,4,3,4,4
5,3,3,3,4,5,4,5,4,5,5,4,4,4,2,4,4,4,2,4,5,5,4,3,5
4,4,4,4,4,3,4,3,4,4,4,5,3,4,4,3,2,3,4,4,3,4,1,2,3
5,4,4,5,4,3,4,4,3,4,4,4,4,4,3,3,5,4,4,3,5,3,3,3,4
5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,4,4,5,5,5,5,3,5,5
5,5,4,4,4,3,4,3,4,3,4,4,3,3,2,3,5,4,4,4,5,5,4,3,5
5,4,4,4,4,3,4,3,4,5,5,3,4,3,4,4,4,4,4,5,5,4,3,4,4
5,4,5,4,5,3,4,5,4,5,5,5,4,4,2,3,3,5,5,5,5,5,2,2,5
4,4,4,4,3,3,4,4,3,3,4,4,4,4,5,4,3,3,4,4,5,4,2,2,4
3,2,2,3,2,4,3,4,3,3,4,4,3,2,3,3,3,3,4,4,2,2,1,3,4
4,3,5,4,5,4,3,4,4,4,4,5,5,5,3,4,5,5,5,4,5,5,5,1,4
5,4,4,5,4,4,4,4,3,5,5,4,4,5,4,4,4,4,5,5,4,4,3,4,4
5,5,4,5,4,3,3,3,3,4,4,3,2,1,2,2,2,3,5,3,3,4,1,3,3
5,4,4,5,3,4,5,5,4,4,5,5,3,3,4,3,4,5,5,3,5,5,5,3,4
5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4
5,4,3,3,3,5,4,4,4,5,5,5,3,3,5,5,5,5,5,4,5,5,4,3,5
4,3,2,3,3,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,2,2,3
5,4,4,5,3,4,4,4,5,4,5,5,3,4,3,4,3,2,4,4,5,5,3,3,5
5,4,4,3,4,2,3,5,4,5,5,5,3,4,2,2,1,4,4,5,5,4,2,4,3
4,4,4,4,4,3,3,4,4,2,4,2,3,2,4,3,4,2,2,3,4,4,3,4,3
5,5,5,4,3,2,4,2,3,5,5,5,5,5,5,2,4,1,5,5,5,5,5,1,4
4,4,4,4,3,3,3,3,3,4,4,4,3,2,3,3,4,3,4,3,4,4,2,3,4
5,4,4,5,4,5,4,4,4,4,5,5,4,4,3,3,2,3,5,4,5,4,4,2,4
5,4,4,5,5,4,4,4,3,5,5,3,4,4,4,4,4,4,5,5,5,4,3,2,4
5,4,4,4,3,4,4,4,3,3,4,4,5,5,4,4,4,4,4,4,5,4,2,2,4
5,4,4,4,3,2,5,5,5,5,5,5,5,2,5,5,1,2,5,5,5,5,4,1,2
5,5,4,5,4,5,4,4,3,4,4,4,3,4,3,3,4,4,5,3,4,4,3,3,5
4,3,3,3,3,2,3,3,4,4,4,3,4,3,3,3,3,4,4,4,4,3,1,3,4
5,5,3,5,5,5,3,5,4,5,5,5,5,3,4,4,3,5,5,3,5,5,3,4,5
4,4,4,2,3,2,3,3,3,4,4,5,4,3,3,3,4,3,4,4,4,4,1,4,4
5,4,4,4,4,5,5,3,3,5,5,5,2,3,3,3,3,5,5,4,5,4,1,3,5
5,3,2,5,4,3,4,3,4,5,4,3,4,4,4,1,3,4,4,1,4,5,1,4,5
4,4,4,3,3,4,3,4,4,3,4,3,3,2,4,4,4,4,4,2,4,4,2,4,4
5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,5,5,4,1,5
5,4,4,4,4,3,3,3,5,5,5,3,3,3,4,4,4,3,4,3,5,5,1,3,5
4,4,4,4,3,5,5,4,3,4,5,3,5,4,4,4,5,5,5,3,5,5,2,1,5
5,4,4,2,2,5,4,4,4,5,5,4,2,4,2,4,2,2,5,5,5,4,2,2,2
5,5,5,2,3,3,5,4,4,4,4,4,2,2,2,2,2,4,3,5,5,5,3,2,4
4,4,3,3,3,4,3,3,3,3,3,4,3,2,3,3,3,2,3,3,3,3,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,5,4,4,4,5,4,4,5,4,5,4,3,4,4,3,4,4,4,4,4,4,1,4
3,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4
5,4,4,5,4,5,3,4,5,4,4,5,3,4,4,4,4,4,5,5,5,5,3,4,5
5,5,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,5,2,4
4,4,4,4,3,2,3,3,4,4,4,4,2,3,3,3,3,2,4,4,3,3,2,3,4
4,4,3,4,3,3,3,3,4,3,3,2,3,2,3,3,3,2,3,3,4,4,2,2,3
5,4,4,5,4,4,3,4,4,5,5,5,4,3,4,4,4,4,4,5,5,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,3,4,4,5,5,5,5,3,3,4,3,3,3,3,4,4,5,5,2,4,5
5,4,4,5,3,3,4,4,5,5,4,4,5,5,3,2,4,4,4,4,5,5,2,3,3
5,5,3,4,4,5,5,5,4,5,5,5,4,4,4,2,3,4,4,4,5,5,3,2,4
